run,window,elapsed_s,n_ok,loss,min_ms,p50_ms,p95_ms,p99_ms,max_ms,mean_ms
after-v1.2.2,91,910.0,50,0,3.64,4.998,62.048,74.204,74.204,11.411
after-v1.2.2,92,920.0,50,0,3.603,5.316,52.111,60.285,60.285,9.305
after-v1.2.2,93,930.0,50,0,3.587,4.025,51.844,72.181,72.181,9.562
after-v1.2.2,94,940.0,50,0,3.599,5.269,65.426,88.383,88.383,13.016
after-v1.2.2,95,950.0,50,0,3.588,5.516,53.835,101.963,101.963,13.875
after-v1.2.2,96,960.0,50,0,3.646,4.654,50.965,65.08,65.08,9.386
after-v1.2.2,97,970.0,50,0,3.59,6.466,59.888,87.744,87.744,15.687
after-v1.2.2,98,980.0,50,0,3.431,4.868,58.197,73.468,73.468,11.533
after-v1.2.2,99,990.0,50,0,3.719,4.182,46.189,70.469,70.469,9.837
after-v1.2.2,100,1000.0,50,0,3.623,5.095,58.757,72.082,72.082,10.379
after-v1.2.2,101,1010.0,50,0,3.73,4.947,58.016,65.048,65.048,10.867
after-v1.2.2,102,1020.0,50,0,3.655,4.163,67.926,82.318,82.318,11.848
after-v1.2.2,103,1030.0,50,0,3.715,5.018,43.934,58.049,58.049,9.083
after-v1.2.2,104,1040.0,50,0,3.59,4.043,67.74,70.47,70.47,11.237
after-v1.2.2,105,1050.0,50,0,3.739,4.325,52.399,57.701,57.701,9.178
after-v1.2.2,106,1060.0,50,0,3.534,5.296,46.607,71.935,71.935,10.816
after-v1.2.2,107,1070.0,50,0,3.748,4.723,52.223,70.464,70.464,10.907
after-v1.2.2,108,1080.0,50,0,3.79,4.983,47.048,71.823,71.823,10.495
after-v1.2.2,109,1090.0,50,0,3.714,4.471,51.078,64.975,64.975,9.881
after-v1.2.2,110,1100.0,50,0,3.628,4.608,57.262,83.524,83.524,10.461
after-v1.2.2,111,1110.0,50,0,3.605,4.275,55.508,76.241,76.241,10.813
after-v1.2.2,112,1120.0,50,0,3.652,5.2,55.172,116.552,116.552,13.298
after-v1.2.2,113,1130.0,50,0,3.696,5.012,53.846,73.9,73.9,10.569
after-v1.2.2,114,1140.0,50,0,3.585,4.367,66.589,72.152,72.152,10.753
after-v1.2.2,115,1150.0,50,0,3.447,5.461,53.334,78.484,78.484,13.153
after-v1.2.2,116,1160.0,50,0,3.577,4.909,45.168,65.797,65.797,9.312
after-v1.2.2,117,1170.0,50,0,3.552,4.588,63.354,77.059,77.059,10.964
after-v1.2.2,118,1180.0,50,0,3.69,5.119,66.472,70.533,70.533,10.921
after-v1.2.2,119,1190.0,50,0,3.609,4.886,53.766,68.162,68.162,10.433
after-v1.2.2,120,1200.0,50,0,3.575,4.96,38.771,69.139,69.139,10.113
after-v1.2.2,121,1210.0,50,0,3.689,4.695,62.666,68.889,68.889,11.145
after-v1.2.2,122,1220.0,50,0,3.756,4.264,61.519,63.277,63.277,10.104
after-v1.2.2,123,1230.0,50,0,3.701,5.118,57.273,70.676,70.676,12.565
after-v1.2.2,124,1240.0,50,0,3.523,4.398,49.764,62.985,62.985,9.104
after-v1.2.2,125,1250.0,50,0,3.654,5.577,44.842,65.276,65.276,10.998
after-v1.2.2,126,1260.0,50,0,3.708,5.43,46.322,77.354,77.354,10.866
after-v1.2.2,127,1270.0,50,0,3.705,4.751,58.687,68.337,68.337,12.183
after-v1.2.2,128,1280.0,50,0,3.697,5.488,44.513,68.473,68.473,10.268
